label_key,default,ar_SA,en_DEBUG,en_GB,en_US,es_ES,fr_FR,pt_BR,tr_TR,zh_CN
MsgRatersErroMin,en_US,,"The actual number participants in the category ""[[CATEGORY]]"" is [[ACTUAL_COUNT]] and needs to be at least [[EXPECTED_COUNT]]",,"The actual number participants in the category ""[[CATEGORY]]"" is [[ACTUAL_COUNT]] and needs to be at least [[EXPECTED_COUNT]]","El número actual de participantes en la categoría ""[[CATEGORY]]"" es de [[ACTUAL_COUNT]] y precisa ser de por lo menos [[EXPECTED_COUNT]]","Le nombre réel de participants dans la catégorie ""[[CATEGORY]]"" est [[ACTUAL_COUNT]] et doit être d'au moins [[EXPECTED_COUNT]]","O número atual de avaliadores na categoria ""[[CATEGORY]]"" é [[ACTUAL_COUNT]] e o número mínimo esperado é de [[EXPECTED_COUNT]]","""[[CATEGORY]]"" kategorisindeki mevcut katılımcı sayısı [[ACTUAL_COUNT]] olarak belirlenmiştir ve bu sayının en az [[EXPECTED_COUNT]] olması beklenmektedir",
defaultRatingGoalsJobPerformance,en_US,,"I do not know how to evaluate / not applicable",,"I do not know how to evaluate / not applicable","No sé evaluar / no aplicable","Je ne sais pas évaluer / ne se applique pas","Não sei avaliar / não aplicável","Nasıl değerlendireceğimi bilmiyorum/ uygulanabilir değil",
SecFunc,en_US,"معلومات عن العامل","Employee Information",,"Employee Information","Información del empleado","Informations sur l'employé","Informações do Funcionário","Çalışan Bilgisi","员工信息"
CampoComentarioColaborador,en_US,"ملاحظات العامل","Employee Comments",,"Employee Comments","Comentarios del empleado","Commentaires de l'employé","Comentários do Colaborador","Çalışan Yorumları","员工意见"
Auto,en_US,,"Self",,"Self","Propio","Soi-même","Auto-Avaliação","Kendisi",
SecCrencas,en_US,,"Beliefs",,"Beliefs","Creencias","Croyances","Crenças","İnançlar",
IntroAvaliacao,en_US,,"<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>Manager,<br><br>
Based on the evaluation done above, comment the strong points. Theses comments will be used as a base to committee discussion.<br><br>
Select the two strongest points and the two that need improvement:<br>
[[PORTLETLINK|61|10|Evaluation Spotlight]]<br>",,"<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>Manager,<br><br>
Based on the evaluation done above, comment the strong points. Theses comments will be used as a base to committee discussion.<br><br>
Select the two strongest points and the two that need improvement:<br>
[[PORTLETLINK|61|10|Evaluation Spotlight]]<br>","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
Manager,<br><br>
Basado en la evaluación realizada según lo mencionado anteriormente, por favor, identifique las 2 puntuaciones más fuertes y las 2 que necesitan ser desarrolladas. Estos comentarios serán la base para las discusiones del comité.<br><br>
Seleccione las dos puntuaciones más fuertes y las dos que precisan ser desarrolladas:<br>
[[PORTLETLINK|61|10|Enfoque de la evaluación]]<br>","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
Gestionnaire,<br><br>
Sur la base de l'évaluation faite ci-dessus, s'il vous plaît identifier les 2 plus fortes convictions et les 2 qui ont besoin d'un développement ultérieur. Ces commentaires formeront la base des discussions du comité.<br><br>
Sélectionnez les deux plus fortes convictions et les deux qui doivent être améliorés:<br>
[[PORTLETLINK|61|10|Mettre en valeur l’evaluation]]<br>","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>Gestor,<br><br>
Com base na avaliação feita acima, comente os pontos de maior destaque. Estes comentários servirão de base para discussão no comitê de avaliação<br><br>
Selecione dois pontos mais fortes e dois a fortalecer:<br>
[[PORTLETLINK|61|10|Destaques da Avaliação]]<br>","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
Sayın Yönetici,<br><br>
Yukarıda yapılan değerlendirmeye dayanarak, 2 güçlü düşünceyi ve geliştirilmesi gereken 2 hususu belirtin. Bu yorumlar komisyon tartışmalarına dayanak teşkil edecek.<br><br>
En güçlü iki düşünceyi ve geliştirilmesi gereken iki hususu seçin:<br>
[[PORTLETLINK|61|10|Değerlendirme Projektörü]]<br>",
IntroRater,en_US,,"<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
The evaluators are defined according to a pre-registered hierarchy. If any change is necessary, you may do so here. Remember that this definition is very important for the success of the process. Make the change considering that the people chosen currently work, or have worked with the evaluated person and will have robust arguments, based on our beliefs to compose the appraisal.<br><br>
<b>Note:</b> The changes made here will not affect the hierarchy registered in official media, if it is a mistake to register, the correction in official media should be sought to the responsible parties.",,"<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
The evaluators are defined according to a pre-registered hierarchy. If any change is necessary, you may do so here. Remember that this definition is very important for the success of the process. Make the change considering that the people chosen currently work, or have worked with the evaluated person and will have robust arguments, based on our beliefs to compose the appraisal.<br><br>
<b>Note:</b> The changes made here will not affect the hierarchy registered in official media, if it is a mistake to register, the correction in official media should be sought to the responsible parties.","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
Los evaluadores se definen de acuerdo con una jerarquía pre-registrada. Si fuera necesario hacer un cambio, puede hacerlo aquí. Recuerde que esta definición es importante para el éxito del proceso. Haga el cambio teniendo en cuenta que las personas escogidas  actualmente ocupan  o un puesto de trabajo, o trabajaron con la persona evaluada y que tendrá buenas razones, basadas en nuestras creencias para elaborar la valoración.<br><br>
<b>Nota:</b> Los cambios que se efectúen aquí no afectarán a la jerarquía según lo registrado en los medios oficiales, si el registro fuera considerado un error, las partes responsables deberán procurar efectuar la corrección.","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
Les évaluateurs sont définis selon une hiérarchie pré-enregistré. Si un changement est nécessaire, vous pouvez le faire ici. Rappelez-vous que cette définition est très importante pour le succès du processus. Apportez les modifications étant donné que les personnes choisies travaillent actuellement, ou ont travaillé avec la personne évaluée et auront des arguments solides, sur la base de nos croyances pour composer l'évaluation.<br><br>
<b>Remarque:</b> Les changements apportés ici n'affecteront pas la hiérarchie enregistré dans les médias officiels, si c'est une erreur pour enregistrer, la correction dans les médias officiels devrait être recherchée pour les parties responsables.","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
Os avaliadores são definidos conforme hierarquia pré-cadastrada. Caso alguma alteração seja necessária você poderá fazer por aqui. Lembre-se que esta definição é muito importante para o sucesso do processo. Faça a alteração levando em consideração que as pessoas escolhidas ,atualmente trabalham, ou já trabalharam com o avaliado e terão argumentos robustos baseados nas nossas crenças para compor a avaliação.<br><br>
<b>Obs.</b>: As alterações feitas aqui não afetarão a hierarquia cadastrada nos meios oficiais, caso seja um erro de cadastro, a correção nos meios oficiais deverá ser solicitada aos devidos responsáveis.","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
Değerlendiriciler önceden kayıtlı hiyerarşiye göre tanımlanır. Herhangi bir değişiklik gerekli ise, buna göre hareket edebilirsiniz. Sürecin başarısı için bu tanımın çok önemli olduğuna dikkat edin. Seçilen kişilerin değerlendirilen kişiyle şu anda birlikte çalıştığını veya daha önce çalışmış olduğunu ve değerlendirme yapmak üzere bilgimiz dahilinde sağlam argümanlara sahip olduğunu dikkate alarak değişikliği yapın.<br><br>
<b>Not:</b> Burada yapılan değişiklikler, resmi ortamda kaydedilen hiyerarşiyi etkilemez, eğer kaydedilmesi yanlış ise, resmi ortamdaki düzeltme sorumlu taraflardan istenmelidir.",
MsgRatersErroMax,en_US,,"The actual number participants in the category ""[[CATEGORY]]"" is [[ACTUAL_COUNT]] and needs to be at most [[EXPECTED_COUNT]]",,"The actual number participants in the category ""[[CATEGORY]]"" is [[ACTUAL_COUNT]] and needs to be at most [[EXPECTED_COUNT]]","El número actual de participantes en la categoría ""[[CATEGORY]]"" es de [[ACTUAL_COUNT]] y precise ser como máximo de [[EXPECTED_COUNT]]","Le nombre réel de participants dans la catégorie ""[[CATEGORY]]"" is [[ACTUAL_COUNT]] et doit être au plus [[EXPECTED_COUNT]]","O número atual de avaliadores na categoria ""[[CATEGORY]]"" é [[ACTUAL_COUNT]] e o número máximo esperado é de [[EXPECTED_COUNT]]","""[[CATEGORY]]"" kategorisindeki mevcut katılımcı sayısı [[ACTUAL_COUNT]] olarak belirlenmiştir ve bu sayının en fazla [[EXPECTED_COUNT]] olması beklenmektedir",
SecJobPerformance,en_US,,"Job Performance",,"Job Performance","Desempeño Laboral","Performance du poste","Desempenho na Função","İş Performansı",
rating,en_US,,"Rating",,"Rating","Valoración","Estimation","Avaliação","Derece",
Gestor,en_US,,"Evaluator Manager",,"Evaluator Manager","Manager Evaluador","Gestionnaire / responsable Évaluateur","Gestor Avaliador","Değerleme Uzmanı yöneticisi",
